Composer,Genre
Max Bruch (1838-1920),Classical
Max Reger,Classical
Max Reger (1873-1916),Classical
Maxwell Davies,Classical
Mendelssohn,Classical
Mendelssohn (arr. Thomson),Classical
Mendelssohn (arr. Widmann),Classical
Mendelssohn Arr. Kreisler,Classical
Mendlessohn,Classical
Messiaen,Classical
Michael Haydn,Classical
Michael Haydn (1737-1806),Classical
Michael Jackson,Pop
Michael Tippett,Classical
Mikhail Pletnev,Classical
Milhaud,Classical
Modest Musorgsky,Classical
Modest Musorgsky (1839-1881),Classical
Modest Mussorgsky,Classical
Modest Mussorgsky (arr Howarth),Classical
"Modest Mussorgsky, Arranged For Violin And Piano By Samuel Dushkin",Classical
Mompou,Classical
Monteverdi,Classical
"Monteverdi, Transcribed Schütz",Classical
Monteverdi/Coppini,Classical
Moscheles,Classical
Moussorgsky,Classical
Mozart,Classical
Mozart ,Classical
Mozart (arr. Derek Smith),Classical
Mozart Arr. Freystädtler,Classical
Mozart Arr. Schwencke,Classical
Mozart Arr. Scott,Classical
Musorgsky,Classical
Mussorgsky,Classical
Mussorgsky (orch. Ravel),Classical
Mussorgsky Arr Ravel,Classical
Mussorgsky Arr Shostakovich,Classical
Mussorgsky Orch. Ravel,Classical
Mussorgsky Orch. Shostakovich,Classical
MYASKOVSKY,Classical
Nadia Boulanger,Classical
Nadia Boulanger/Raoul Pugno,Classical
Nathan Milstein,Classical
Nicolai Rimsky-Korsakov,Classical
Nicolas Medtner (1879-1880),Classical
Nicolò Paganini (1782-1840),Classical
Nikolai Rimsky-Korsakov,Classical
Olivier Messiaen,Classical
Olivier Messiaen (1908-1992),Classical
Ottorino Respighi,Classical
"Ottorino Respighi, Arranged By Peter Maunder",Classical
Ottorino Respighi (1879-1936),Classical
Paganini,Classical
Palestrina,Classical
Panufnik,Classical
Parry Arr. Elgar ,Classical
Parry Orch. Elgar,Classical
Paul Hindemith,Classical
Paul Hindemith (1895-1963),Classical
Paul Simon,Pop
Penderecki,Classical
Peter Maxwell Davies,Classical
Philip Glass,Classical
"Philip Glass, Ravi Shankar",Classical
Philip Glass (b.1937),Classical
Phillip Glass,Classical
Pierre Boulez,Classical
Pink Floyd,Pop
Piotr Ilyich Tchaikovsky,Classical
Poulenc,Classical
Poulenc Arr. Jean-Christophe Masso,Classical
Prokofiev,Classical
Prokofiev /Chiu,Classical
Prokofiev Arr Borivosky,Classical
Prokofiev Arr. Tommy Smith,Classical
Prokofiev Violin Concerto No. 2,Classical
Puccini,Classical
Purcell,Classical
Purcell Arr Manze,Classical
Purcell/Britten,Classical
Pushkin (Author) / Tchaikovsky (Composer),Classical
Pyotr I. Tchaikovsky,Classical
Pyotr Il’yich Tchaikovsky,Classical
Pyotr Il’yich Tchaikovsky Arranged By Phillip Gammon,Classical
Pyotr Ilich Tchaikovsky,Classical
Pyotr Ilyich Tchaikovsky,Classical
Pyotr Ilyich Tchaikovsky (1840-1893),Classical
Pyotr Ilyich Tchaikovsky (arr. Mikhail Pletnev),Classical
Pyotr Ilyich Tchaikovsky (1840-1893),Classical
Pyotr IlyichTchaikovsky,Classical
Pyotr Tchaikovsky,Classical
R Schumann,Classical
R Strauss,Classical
R. Schumann,Classical
R. Schumann (1810-1856),Classical
R. Strauss,Classical
R.Strauss,Classical
Rachmaninoff,Classical
Rachmaninov,Classical
Rachmaninov ,Classical
Rachmaninov Arr Volodos,Classical
Rachmaninov Arr. Marchland,Classical
Rachmaninov Arr. McCarthy,Classical
Rachmaninov Arr. Meinders,Classical
Rachmaninov Vespers,Classical
Ralph Vaughan Williams,Classical
Ralph Vaughan Williams (1872-1958),Classical
Ralph Vaughan-Williams,Classical
Ravel,Classical
Ravel (arr.) Robert Weiner,Classical
Ravel (orch. Colin Matthews),Classical
Richard Rodney Bennett,Classical
Richard Strauss,Classical
Richard Strauss (1864-1949),Classical
Richard Wagner,Classical
Richard Wagner (arr De Vlieger),Classical
Richard Wagner (1813-1883),Classical
Rimsky Korsakov,Classical
Rimsky-Korsakov,Classical
Rimsky-Korsakov Arr. Scott,Classical
Rimsky-Kosakov,Classical
Robert & Clara Schumann,Classical
Roxanna Panufnik,Classical
Roxanna Panufnik (b.1968),Classical
S. Copeland,Classical
S. Rachmaninov,Classical
Saint Saens,Classical
Saint Saens Arr. Philip Wilby,Classical
Saint- Saëns,Classical
Saint-Saën,Classical
Saint-Saens,Classical
Saint-Saëns,Classical
Saint-Saëns Arr Scott,Classical
Saint?Saëns,Classical
Sally Beamish,Classical
Samuel Barber,Classical
Samuel Barber (1910-1981),Classical
Scarlatti,Classical
Scarletti,Classical
Schnittke,Classical
Schoenberg,Classical
Schoenberg (arr. Webern),Classical
"Schoenberg, Stravinsky, Milhaud Et Al",Classical
Schubert,Classical
Schubert Arr. Boehm/Massey,Classical
Schubert Arr. Liszt,Classical
